,gene_human,entrez_id_human,gene_mouse,MGI,MP_HMD,MP_PhenoGeno,HP_genes_to_phenotype,MP_system_level,HP_system_level,MP_from_HP_system_level,count_human,count_mouse,MP_system_level_set,MP_from_HP_system_level_set,Jaccard,len_intersection,intersection,not_intersection,from_mouse,from_human,MPs_union,MP_liver,gene,oe_lof_upper,pLI,mis_z
0,ABCB7,22,Abcb7,MGI:109533,"MP:0005378,MP:0005376,MP:0005380,MP:0005385,MP:0005370,MP:0010768,MP:0005384","MP:0005032,MP:0011091,MP:0001914,MP:0001570,MP:0005639,MP:0011097,MP:0011096,MP:0011088,MP:0003121,MP:0005584,MP:0002080,MP:0011085,MP:0000598,MP:0003984,MP:0000607","HP:0001260,HP:0001939,HP:0001310,HP:0002075,HP:0002080,HP:0001924,HP:0004840,HP:0001419,HP:0003487,HP:0002169,HP:0002470,HP:0003621,HP:0001511,HP:0001903,HP:0002167,HP:0000639,HP:0001252,HP:0001347,HP:0002650,HP:0000486,HP:0001251,HP:0001263","MP:0005370,MP:0005378,MP:0010768,MP:0005376,MP:0005380,MP:0005385,MP:0005384","HP:0003011,HP:0001507,HP:0000478,HP:0000707,HP:0000924,HP:0001871,HP:0001939","MP:0005390,MP:0005378,MP:0003631,MP:0005397,MP:0005391,MP:0005376,MP:0005369",1,1,"{'MP:0005380', 'MP:0005385', 'MP:0005384', 'MP:0010768', 'MP:0005376', 'MP:0005378', 'MP:0005370'}","{'MP:0005369', 'MP:0005391', 'MP:0005390', 'MP:0003631', 'MP:0005397', 'MP:0005376', 'MP:0005378'}",0.16666666666666666,2,"{'MP:0005376', 'MP:0005378'}","{'MP:0005380', 'MP:0005369', 'MP:0005385', 'MP:0005391', 'MP:0005384', 'MP:0005390', 'MP:0010768', 'MP:0003631', 'MP:0005397', 'MP:0005370'}","{'MP:0005380', 'MP:0005385', 'MP:0005384', 'MP:0010768', 'MP:0005370'}","{'MP:0005369', 'MP:0005391', 'MP:0005390', 'MP:0003631', 'MP:0005397'}","{'MP:0005380', 'MP:0005369', 'MP:0005385', 'MP:0005391', 'MP:0005384', 'MP:0005390', 'MP:0010768', 'MP:0003631', 'MP:0005397', 'MP:0005376', 'MP:0005378', 'MP:0005370'}",from mouse,ABCB7,0.109,0.99994,2.9037
1,ABL1,25,Abl1,MGI:87859,"MP:0005390,MP:0003631,MP:0005378,MP:0005397,MP:0005379,MP:0005376,MP:0005391,MP:0005381,MP:0005385,MP:0005387,MP:0005370,MP:0002006,MP:0005388,MP:0005382,MP:0010768,MP:0005369,MP:0005384","MP:0002083,MP:0000711,MP:0009719,MP:0002092,MP:0011086,MP:0000716,MP:0004056,MP:0011087,MP:0009333,MP:0000493,MP:0000694,MP:0000857,MP:0008208,MP:0009267,MP:0013551,MP:0013504,MP:0031131,MP:0004545,MP:0000715,MP:0008770,MP:0002359,MP:0002459,MP:0004261,MP:0011098,MP:0005244,MP:0005016,MP:0000703,MP:0000607,MP:0000275,MP:0002953,MP:0008772,MP:0009278,MP:0020849,MP:0008209,MP:0009268,MP:0011090,MP:0000462,MP:0002152,MP:0000333,MP:0009216,MP:0001785,MP:0002144,MP:0011088,MP:0008215,MP:0001405,MP:0001304,MP:0008082,MP:0004067,MP:0001262,MP:0009969,MP:0006321,MP:0002169,MP:0008874,MP:0011394,MP:0002401,MP:0011109,MP:0001787,MP:0001302,MP:0000292,MP:0002722,MP:0008211,MP:0000854,MP:0002762,MP:0000852,MP:0005435,MP:0000266,MP:0009937,MP:0000278,MP:0009978,MP:0000689,MP:0000885,MP:0005150,MP:0006387,MP:0005017,MP:0003644,MP:0002833,MP:0008525,MP:0003140,MP:0000729,MP:0000849,MP:0000274,MP:0006097,MP:0005294,MP:0001265,MP:0002406,MP:0010724,MP:0003643,MP:0002621,MP:0002357,MP:0001861,MP:0005018,MP:0006098,MP:0009956,MP:0001823,MP:0008083,MP:0002763","HP:0005506,HP:0001428,HP:0004852,HP:0004848,HP:0001744,HP:0001974,HP:0004396,HP:0001912,HP:0012378,HP:0001894,HP:0005547,HP:0001873,HP:0001945,HP:0001263,HP:0002023,HP:0001680,HP:0000218,HP:0000331,HP:0000977,HP:0001629,HP:0000028,HP:0000337,HP:0001763,HP:0000670,HP:0000490,HP:0002019,HP:0004322,HP:0000963,HP:0040019,HP:0003189,HP:0001508,HP:0002010,HP:0000307,HP:0003196,HP:0000047,HP:0000965,HP:0000767,HP:0002650,HP:0012385,HP:0000006,HP:0000776,HP:0002566,HP:0002107,HP:0000678,HP:0001511,HP:0001166,HP:0000460,HP:0001631","MP:0003631,MP:0005378,MP:0005379,MP:0005391,MP:0005381,MP:0005380,MP:0005370,MP:0005388,MP:0010768,MP:0005384,MP:0005390,MP:0005397,MP:0005376,MP:0005386,MP:0005385,MP:0005387,MP:0005382,MP:0005369","HP:0040064,HP:0000478,HP:0100790,HP:0002086,HP:0000924,HP:0012378,HP:0000775,HP:0011024,HP:0000079,HP:0003271,HP:0001743,HP:0004377,HP:0002019,HP:0000234,HP:0001939,HP:0001574,HP:0003011,HP:0001507,HP:0002715,HP:0000078,HP:0001871,HP:0001626,HP:0004396,HP:0001371,HP:0000707,HP:0002664","MP:0005390,MP:0005378,MP:0005397,MP:0003631,MP:0005391,MP:0005386,MP:0005367,MP:0005376,MP:0005371,MP:0005381,MP:0005387,MP:0010771,MP:0005389,MP:0005385,MP:0002006,MP:0005388,MP:0005382,MP:0005369",1,1,"{'MP:0005380', 'MP:0005382', 'MP:0005369', 'MP:0005385', 'MP:0005391', 'MP:0005384', 'MP:0005390', 'MP:0005386', 'MP:0010768', 'MP:0003631', 'MP:0005397', 'MP:0005376', 'MP:0005379', 'MP:0005381', 'MP:0005387', 'MP:0005388', 'MP:0005378', 'MP:0005370'}","{'MP:0005382', 'MP:0005369', 'MP:0005389', 'MP:0005385', 'MP:0005391', 'MP:0005390', 'MP:0005386', 'MP:0005371', 'MP:0005367', 'MP:0003631', 'MP:0005397', 'MP:0005376', 'MP:0010771', 'MP:0005381', 'MP:0005387', 'MP:0005388', 'MP:0005378', 'MP:0002006'}",0.5652173913043478,13,"{'MP:0005382', 'MP:0005369', 'MP:0005385', 'MP:0005391', 'MP:0005390', 'MP:0005386', 'MP:0003631', 'MP:0005397', 'MP:0005376', 'MP:0005381', 'MP:0005387', 'MP:0005388', 'MP:0005378'}","{'MP:0005380', 'MP:0005389', 'MP:0005384', 'MP:0005371', 'MP:0010768', 'MP:0005367', 'MP:0010771', 'MP:0005379', 'MP:0005370', 'MP:0002006'}","{'MP:0005380', 'MP:0005384', 'MP:0010768', 'MP:0005379', 'MP:0005370'}","{'MP:0005389', 'MP:0005371', 'MP:0005367', 'MP:0010771', 'MP:0002006'}","{'MP:0005369', 'MP:0005385', 'MP:0005391', 'MP:0005386', 'MP:0005371', 'MP:0005367', 'MP:0005376', 'MP:0005379', 'MP:0005381', 'MP:0005387', 'MP:0005388', 'MP:0005378', 'MP:0002006', 'MP:0005380', 'MP:0005382', 'MP:0005389', 'MP:0005384', 'MP:0005390', 'MP:0010768', 'MP:0003631', 'MP:0005397', 'MP:0010771', 'MP:0005370'}",from mouse,ABL1,0.176,0.99998,2.5581
2,ACACA,31,Acaca,MGI:108451,"MP:0005378,MP:0005397,MP:0005376,MP:0005380,MP:0005387,MP:0005370,MP:0010768","MP:0002078,MP:0001554,MP:0005343,MP:0002444,MP:0002118,MP:0013245,MP:0009356,MP:0002310,MP:0002702,MP:0001559,MP:0002079,MP:0003458,MP:0011096,MP:0001730,MP:0005584,MP:0001547,MP:0005348,MP:0008050,MP:0000609,MP:0006207,MP:0001698,MP:0005018,MP:0005282,MP:0003984","HP:0000007,HP:0001510,HP:0003198,HP:0001290","MP:0005397,MP:0005378,MP:0005376,MP:0005380,MP:0005387,MP:0005370,MP:0010768,MP:0005384","HP:0003011,HP:0001507","MP:0005378,MP:0005369",1,1,"{'MP:0005380', 'MP:0005384', 'MP:0010768', 'MP:0005397', 'MP:0005376', 'MP:0005387', 'MP:0005378', 'MP:0005370'}","{'MP:0005369', 'MP:0005378'}",0.1111111111111111,1,{'MP:0005378'},"{'MP:0005380', 'MP:0005369', 'MP:0005384', 'MP:0010768', 'MP:0005397', 'MP:0005376', 'MP:0005387', 'MP:0005370'}","{'MP:0005380', 'MP:0005384', 'MP:0010768', 'MP:0005397', 'MP:0005376', 'MP:0005387', 'MP:0005370'}",{'MP:0005369'},"{'MP:0005380', 'MP:0005369', 'MP:0005384', 'MP:0010768', 'MP:0005397', 'MP:0005376', 'MP:0005387', 'MP:0005378', 'MP:0005370'}",from mouse,ACACA,0.216,1.0,7.2382
3,ACAD8,27034,Acad8,MGI:1914198,"MP:0005376,MP:0005367,MP:0005375,MP:0005370,MP:0005384","MP:0005311,MP:0009125,MP:0011635,MP:0001570,MP:0005289,MP:0003978,MP:0011637,MP:0011049,MP:0009643,MP:0006035,MP:0000607,MP:0031116,MP:0031115","HP:0011342,HP:0001644,HP:0003215,HP:0002013,HP:0045045,HP:0000750,HP:0001252,HP:0003234,HP:0012734,HP:0001642,HP:0001944,HP:0001252,HP:0003234,HP:0000007,HP:0001644,HP:0001903","MP:0005370,MP:0005376,MP:0005367,MP:0005384,MP:0005375","HP:0003011,HP:0001871,HP:0001626,HP:0000079,HP:0025354,HP:0002017,HP:0000707,HP:0001939","MP:0005397,MP:0003631,MP:0005376,MP:0005367,MP:0005381,MP:0005385,MP:0005369,MP:0005384",1,1,"{'MP:0005384', 'MP:0005367', 'MP:0005375', 'MP:0005376', 'MP:0005370'}","{'MP:0005369', 'MP:0005385', 'MP:0005384', 'MP:0005367', 'MP:0003631', 'MP:0005397', 'MP:0005376', 'MP:0005381'}",0.3,3,"{'MP:0005384', 'MP:0005376', 'MP:0005367'}","{'MP:0005369', 'MP:0005385', 'MP:0005375', 'MP:0005397', 'MP:0003631', 'MP:0005381', 'MP:0005370'}","{'MP:0005375', 'MP:0005370'}","{'MP:0005369', 'MP:0005385', 'MP:0003631', 'MP:0005397', 'MP:0005381'}","{'MP:0005369', 'MP:0005385', 'MP:0005384', 'MP:0005367', 'MP:0005375', 'MP:0003631', 'MP:0005397', 'MP:0005376', 'MP:0005381', 'MP:0005370'}",from mouse,ACAD8,1.27,5.6389e-14,0.22235
4,ACAN,176,Acan,MGI:99602,"MP:0005390,MP:0003631,MP:0005378,MP:0005376,MP:0005386,MP:0005371,MP:0005381,MP:0005385,MP:0005387,MP:0005370,MP:0005388,MP:0005382,MP:0005377,MP:0010768,MP:0005369","MP:0002083,MP:0002764,MP:0000166,MP:0000164,MP:0001954,MP:0000162,MP:0004734,MP:0000042,MP:0000160,MP:0002544,MP:0005330,MP:0002932,MP:0001556,MP:0011100,MP:0002427,MP:0004704,MP:0001625,MP:0001406,MP:0004173,MP:0004686,MP:0000150,MP:0003436,MP:0001270,MP:0004653,MP:0011967,MP:0030420,MP:0006279,MP:0001178,MP:0011087,MP:0000547,MP:0000598,MP:0001438,MP:0004746,MP:0010079,MP:0003120,MP:0000599,MP:0004020,MP:0002169,MP:0001175,MP:0000141,MP:0004351,MP:0009908,MP:0001261,MP:0004684,MP:0004403,MP:0004393,MP:0002772,MP:0000447,MP:0000955,MP:0002109,MP:0000445,MP:0003109,MP:0000137,MP:0001953,MP:0000111,MP:0002116,MP:0001967,MP:0000130","HP:0002857,HP:0003508,HP:0003370,HP:0000926,HP:0002750,HP:0002970,HP:0002655,HP:0000006,HP:0004482,HP:0000303,HP:0005285,HP:0000470,HP:0000368,HP:0011304,HP:0011800,HP:0002938,HP:0001156,HP:0008905,HP:0001552,HP:0001609,HP:0001388,HP:0001597,HP:0002795,HP:0003027,HP:0000007,HP:0010582,HP:0000926,HP:0000470,HP:0000272,HP:0005285,HP:0009381,HP:0003016,HP:0025428,HP:0001609,HP:0004482,HP:0011800,HP:0011304,HP:0000303,HP:0001388,HP:0003027,HP:0000368,HP:0001552,HP:0002651,HP:0002938,HP:0001156,HP:0008905,HP:0002655,HP:0002758,HP:0002983,HP:0003508,HP:0010306,HP:0005930,HP:0000926,HP:0005616,HP:0002758,HP:0011800,HP:0010055,HP:0100777,HP:0009778,HP:0001507,HP:0005280,HP:0008843,HP:0010886,HP:0001156,HP:0000006,HP:0002938,HP:0004322,HP:0002515,HP:0002007,HP:0007281,HP:0002758,HP:0001156,HP:0011800,HP:0009778","MP:0005378,MP:0003631,MP:0005371,MP:0005381,MP:0005370,MP:0005388,MP:0010768,MP:0005390,MP:0005376,MP:0005386,MP:0005385,MP:0005387,MP:0002006,MP:0005382,MP:0005377,MP:0005369","HP:0040064,HP:0001574,HP:0001507,HP:0000464,HP:0002664,HP:0002086,HP:0000924,HP:0000598,HP:0000707,HP:0000234,HP:0001608","MP:0005390,MP:0005378,MP:0003631,MP:0005386,MP:0010771,MP:0005371,MP:0002006,MP:0005388,MP:0005382,MP:0005377",1,1,"{'MP:0005382', 'MP:0005377', 'MP:0005385', 'MP:0005369', 'MP:0002006', 'MP:0005390', 'MP:0005386', 'MP:0005371', 'MP:0010768', 'MP:0003631', 'MP:0005376', 'MP:0005381', 'MP:0005387', 'MP:0005388', 'MP:0005378', 'MP:0005370'}","{'MP:0005382', 'MP:0005377', 'MP:0005390', 'MP:0005386', 'MP:0005371', 'MP:0003631', 'MP:0010771', 'MP:0005388', 'MP:0005378', 'MP:0002006'}",0.5294117647058824,9,"{'MP:0005382', 'MP:0005377', 'MP:0005390', 'MP:0005386', 'MP:0005371', 'MP:0003631', 'MP:0005388', 'MP:0005378', 'MP:0002006'}","{'MP:0005369', 'MP:0005385', 'MP:0010768', 'MP:0005376', 'MP:0010771', 'MP:0005381', 'MP:0005387', 'MP:0005370'}","{'MP:0005369', 'MP:0005385', 'MP:0010768', 'MP:0005376', 'MP:0005381', 'MP:0005387', 'MP:0005370'}",{'MP:0010771'},"{'MP:0005369', 'MP:0005385', 'MP:0005386', 'MP:0005371', 'MP:0005376', 'MP:0005381', 'MP:0005387', 'MP:0005388', 'MP:0005378', 'MP:0002006', 'MP:0005382', 'MP:0005377', 'MP:0005390', 'MP:0010768', 'MP:0003631', 'MP:0010771', 'MP:0005370'}",from mouse,ACAN,0.183,1.0,0.20716
5,ACBD5,91452,Acbd5,MGI:1921409,"MP:0005390,MP:0005378,MP:0003631,MP:0005397,MP:0005376,MP:0005386,MP:0005391,MP:0005389,MP:0005387,MP:0005375,MP:0005370,MP:0005384","MP:0005565,MP:0005419,MP:0000160,MP:0002118,MP:0003960,MP:0003439,MP:0001405,MP:0001406,MP:0000921,MP:0000876,MP:0010869,MP:0005567,MP:0010025,MP:0001262,MP:0000062,MP:0002599,MP:0001847,MP:0012220,MP:0014010,MP:0000598,MP:0000136,MP:0000607,MP:0001326,MP:0005281,MP:0002644,MP:0003179,MP:0002968,MP:0000877,MP:0005553,MP:0002183,MP:0011940,MP:0002229,MP:0005292,MP:0010123,MP:0000195,MP:0001513,MP:0005404,MP:0001393,MP:0001921,MP:0001257,MP:0013630,MP:0000880","HP:0030147,HP:0001310,HP:0002515,HP:0001260,HP:0000175,HP:0009904,HP:0001488,HP:0000007,HP:0000253,HP:0002527,HP:0000601,HP:0003429,HP:0000510,HP:0001270,HP:0003391,HP:0001583,HP:0008167,HP:0000750","MP:0005390,MP:0005378,MP:0003631,MP:0005397,MP:0005376,MP:0005386,MP:0005391,MP:0005389,MP:0005387,MP:0005375,MP:0005370,MP:0005384","HP:0003011,HP:0000478,HP:0000707,HP:0000234,HP:0000924,HP:0000598,HP:0001939","MP:0005390,MP:0003631,MP:0005391,MP:0005376,MP:0005382,MP:0005377,MP:0005369",1,1,"{'MP:0005389', 'MP:0005391', 'MP:0005390', 'MP:0005386', 'MP:0005384', 'MP:0003631', 'MP:0005397', 'MP:0005375', 'MP:0005376', 'MP:0005387', 'MP:0005378', 'MP:0005370'}","{'MP:0005382', 'MP:0005377', 'MP:0005369', 'MP:0005391', 'MP:0005390', 'MP:0003631', 'MP:0005376'}",0.26666666666666666,4,"{'MP:0003631', 'MP:0005390', 'MP:0005376', 'MP:0005391'}","{'MP:0005382', 'MP:0005369', 'MP:0005377', 'MP:0005389', 'MP:0005384', 'MP:0005386', 'MP:0005375', 'MP:0005397', 'MP:0005387', 'MP:0005378', 'MP:0005370'}","{'MP:0005389', 'MP:0005384', 'MP:0005386', 'MP:0005375', 'MP:0005397', 'MP:0005387', 'MP:0005378', 'MP:0005370'}","{'MP:0005382', 'MP:0005369', 'MP:0005377'}","{'MP:0005369', 'MP:0005391', 'MP:0005386', 'MP:0005376', 'MP:0005387', 'MP:0005378', 'MP:0005382', 'MP:0005377', 'MP:0005389', 'MP:0005390', 'MP:0005384', 'MP:0003631', 'MP:0005397', 'MP:0005375', 'MP:0005370'}",from mouse,ACBD5,0.529,0.006148,0.87301
6,ACTA1,58,Acta1,MGI:87902,"MP:0005390,MP:0005378,MP:0005376,MP:0005386,MP:0005391,MP:0005375,MP:0005370,MP:0005382,MP:0010768,MP:0005369","MP:0005439,MP:0002083,MP:0000755,MP:0002106,MP:0004090,MP:0000759,MP:0003084,MP:0004232,MP:0004087,MP:0030140,MP:0004091,MP:0009402,MP:0001262,MP:0004233,MP:0010052,MP:0000747,MP:0010398,MP:0009403,MP:0001344,MP:0010399,MP:0011085,MP:0001265,MP:0010053,MP:0001349,MP:0001515,MP:0001402,MP:0001780,MP:0001921,MP:0000733,MP:0000161","HP:0009027,HP:0000508,HP:0002804,HP:0001349,HP:0002877,HP:0000347,HP:0003327,HP:0002650,HP:0002515,HP:0003803,HP:0002808,HP:0002827,HP:0002375,HP:0030198,HP:0000470,HP:0000275,HP:0003557,HP:0002970,HP:0003306,HP:0003325,HP:0003722,HP:0002093,HP:0002857,HP:0003236,HP:0030200,HP:0003307,HP:0000218,HP:0001319,HP:0003198,HP:0011968,HP:0003798,HP:0000767,HP:0001561,HP:0000774,HP:0030196,HP:0001265,HP:0003755,HP:0002093,HP:0011968,HP:0001508,HP:0003324,HP:0003577,HP:0000508,HP:0001612,HP:0000276,HP:0001319,HP:0002650,HP:0003701,HP:0002015,HP:0002938,HP:0003687,HP:0010628,HP:0000006,HP:0001644,HP:0002747,HP:0001374,HP:0001283,HP:0000218,HP:0032341,HP:0000275,HP:0001558,HP:0003828,HP:0000007,HP:0000602,HP:0003121,HP:0002093,HP:0002650,HP:0003306,HP:0003391,HP:0001290,HP:0001263,HP:0001265,HP:0002421,HP:0030878,HP:0003273,HP:0003307,HP:0031546,HP:0002987,HP:0000467,HP:0003089,HP:0003198,HP:0002515,HP:0003202,HP:0002090,HP:0003691,HP:0010628,HP:0031189,HP:0009130,HP:0003687,HP:0001771,HP:0003677,HP:0011462,HP:0009025,HP:0001284,HP:0003593,HP:0003323,HP:0003557,HP:0009027,HP:0000006,HP:0003722,HP:0001265,HP:0003307,HP:0005855,HP:0001270,HP:0000602,HP:0002355,HP:0002878,HP:0003324,HP:0001561,HP:0006829,HP:0003202,HP:0000343,HP:0000765,HP:0000316,HP:0003458,HP:0001284,HP:0002375,HP:0003798,HP:0000369,HP:0002015,HP:0001622,HP:0002705,HP:0003803,HP:0002804,HP:0002058,HP:0001558,HP:0001349,HP:0001265,HP:0003557,HP:0002804,HP:0003552,HP:0003546,HP:0000275,HP:0000347,HP:0002515,HP:0011968,HP:0003690,HP:0009055,HP:0030192,HP:0001989,HP:0001290,HP:0001270,HP:0003798,HP:0001284,HP:0001561,HP:0009058,HP:0002067,HP:0002650,HP:0000467,HP:0003306,HP:0000276,HP:0000774,HP:0001349,HP:0000316,HP:0001265,HP:0003691,HP:0002312,HP:0000508,HP:0002483,HP:0000218,HP:0001533,HP:0008180,HP:0002355,HP:0002747,HP:0002792,HP:0002068,HP:0001638,HP:0001761,HP:0003458,HP:0001623,HP:0003803,HP:0001347,HP:0001270,HP:0001644,HP:0001284,HP:0001265,HP:0000218,HP:0003445,HP:0000298,HP:0000007,HP:0001283,HP:0010628,HP:0008180,HP:0002804,HP:0003803,HP:0003798,HP:0001761,HP:0003701,HP:0003722,HP:0002515,HP:0003306,HP:0001319,HP:0002650,HP:0003307,HP:0001533,HP:0002015,HP:0001558,HP:0000278,HP:0003324,HP:0003458,HP:0000006,HP:0003690,HP:0002058,HP:0002063,HP:0008872,HP:0002359,HP:0003810,HP:0001561,HP:0002747,HP:0003324,HP:0009004,HP:0002751,HP:0000276,HP:0000602,HP:0001824,HP:0001762,HP:0012378,HP:0001284,HP:0006380,HP:0003388,HP:0002058,HP:0002987,HP:0011470,HP:0002878,HP:0003323,HP:0001270,HP:0001648,HP:0012785,HP:0001561,HP:0001761,HP:0002015,HP:0012418,HP:0005216,HP:0009027,HP:0003547,HP:0000347,HP:0002421,HP:0001252,HP:0000767,HP:0002315,HP:0011807,HP:0030192,HP:0001609,HP:0004878,HP:0000218,HP:0001374,HP:0001558,HP:0001508,HP:0002360,HP:0003749,HP:0030319,HP:0002747,HP:0012416,HP:0000678,HP:0003273,HP:0002205,HP:0004396,HP:0006466,HP:0011951,HP:0003307,HP:0001558,HP:0005855,HP:0001181,HP:0002015,HP:0001270,HP:0000775,HP:0001349,HP:0000883,HP:0000602,HP:0001561,HP:0003327,HP:0000369,HP:0001622,HP:0002878,HP:0003202,HP:0002089,HP:0003798,HP:0000047,HP:0000054,HP:0002375,HP:0001623,HP:0009025,HP:0006829,HP:0000239,HP:0002804,HP:0003803,HP:0007514,HP:0003736,HP:0001263,HP:0000467,HP:0003805,HP:0010628,HP:0000473,HP:0001558,HP:0003555,HP:0003327,HP:0003713,HP:0002460,HP:0003236,HP:0012899,HP:0003551,HP:0001319,HP:0003715,HP:0003798,HP:0006785,HP:0003391,HP:0003458,HP:0002515","MP:0005390,MP:0005378,MP:0005391,MP:0005376,MP:0005386,MP:0005389,MP:0005375,MP:0005370,MP:0005382,MP:0010768,MP:0005369","HP:0040064,HP:0000464,HP:0000478,HP:0001787,HP:0002086,HP:0000924,HP:0012378,HP:0000775,HP:0011024,HP:0001557,HP:0000079,HP:0000708,HP:0000234,HP:0001939,HP:0003011,HP:0001507,HP:0002715,HP:0000078,HP:0011968,HP:0000598,HP:0001626,HP:0004396,HP:0001371,HP:0001622,HP:0000707,HP:0001560,HP:0001608","MP:0005390,MP:0005378,MP:0003631,MP:0005391,MP:0005386,MP:0005367,MP:0005376,MP:0005371,MP:0005389,MP:0005381,MP:0005387,MP:0005385,MP:0005380,MP:0005388,MP:0005382,MP:0005377,MP:0005369",1,1,"{'MP:0005382', 'MP:0005369', 'MP:0005389', 'MP:0005391', 'MP:0005390', 'MP:0005386', 'MP:0010768', 'MP:0005375', 'MP:0005376', 'MP:0005378', 'MP:0005370'}","{'MP:0005380', 'MP:0005382', 'MP:0005377', 'MP:0005389', 'MP:0005385', 'MP:0005391', 'MP:0005369', 'MP:0005390', 'MP:0005386', 'MP:0005371', 'MP:0005367', 'MP:0003631', 'MP:0005376', 'MP:0005381', 'MP:0005387', 'MP:0005388', 'MP:0005378'}",0.4,8,"{'MP:0005382', 'MP:0005369', 'MP:0005389', 'MP:0005391', 'MP:0005390', 'MP:0005386', 'MP:0005376', 'MP:0005378'}","{'MP:0005380', 'MP:0005377', 'MP:0005385', 'MP:0005371', 'MP:0010768', 'MP:0005367', 'MP:0005375', 'MP:0003631', 'MP:0005381', 'MP:0005387', 'MP:0005388', 'MP:0005370'}","{'MP:0005375', 'MP:0010768', 'MP:0005370'}","{'MP:0005380', 'MP:0005377', 'MP:0005385', 'MP:0005371', 'MP:0005367', 'MP:0003631', 'MP:0005381', 'MP:0005387', 'MP:0005388'}","{'MP:0005369', 'MP:0005385', 'MP:0005391', 'MP:0005386', 'MP:0005371', 'MP:0005367', 'MP:0005376', 'MP:0005381', 'MP:0005387', 'MP:0005388', 'MP:0005378', 'MP:0005380', 'MP:0005382', 'MP:0005377', 'MP:0005389', 'MP:0005390', 'MP:0010768', 'MP:0005375', 'MP:0003631', 'MP:0005370'}",from mouse,ACTA1,1.223,1.1385e-06,4.5292
