entrez_id_human,entrez_id_mouse,pleiotropy_HPO,pleiotropy_MPO,median_exp,mean_exp,count_exp
23460,76184.0,,1.0,7.40872,11.47328379245283,24.0
10347,27403.0,1.0,1.0,6.33449,11.23316509433962,13.0
10350,217262.0,,0.0,8.64275,15.560547075471694,22.0
23456,56199.0,,2.0,10.5703,10.3062958490566,28.0
8647,27413.0,2.0,1.0,0.0155165,0.4466610156603773,1.0
5244,18670.0,1.0,2.0,0.448509,1.306943324528302,1.0
340273,77706.0,,1.0,0.0121284,0.10410356547169813,0.0
10058,74104.0,1.0,1.0,35.1717,39.89234754716981,52.0
22,11306.0,1.0,1.0,17.1828,15.590387735849053,38.0
11194,74610.0,,1.0,12.2142,14.479093584905664,41.0
23457,56325.0,,1.0,3.06823,3.694416,3.0
4363,17250.0,0.0,1.0,17.2149,19.69539,37.0
89845,224814.0,,1.0,11.1264,11.65595094339623,32.0
94160,244562.0,,,0.00791573,0.3797715558490566,1.0
1244,12780.0,1.0,1.0,0.816052,2.25849298490566,1.0
8714,76408.0,,1.0,5.02759,14.854680952830185,20.0
10257,239273.0,,2.0,2.69678,4.255446075471697,5.0
10057,27416.0,,1.0,17.504,21.08090773584906,49.0
