MGI:3689889	MP:0005389,MP:0002006,MP:0010768,MP:0005384,MP:0005391,MP:0005379,MP:0005397,MP:0005376
MGI:96960	MP:0005386,MP:0005367,MP:0005378,MP:0010768,MP:0005381,MP:0005384
MGI:1923880	nan
MGI:1923656	nan
MGI:3609239	MP:0005381,MP:0005378,MP:0005390,MP:0005375,MP:0005386,MP:0005370,MP:0005397,MP:0005376
MGI:3031334	nan
MGI:2442978	MP:0005390,MP:0005376,MP:0010771,MP:0005371
MGI:1916513	nan
MGI:1915115	MP:0005387,MP:0005378,MP:0005384,MP:0005371,MP:0010768,MP:0005390,MP:0005397,MP:0005376
MGI:2387100	MP:0001186,MP:0005389,MP:0005386,MP:0005376,MP:0010771,MP:0005385
MGI:106368	MP:0005386,MP:0005376,MP:0010768,MP:0003631,MP:0005384
MGI:1347043	MP:0005389,MP:0005384
MGI:1919204	MP:0010768,MP:0005384
MGI:2443286	MP:0005387,MP:0005375,MP:0005376,MP:0005397
MGI:1101357	MP:0000273,MP:0005377,MP:0001186,MP:0005382,MP:0005381,MP:0005385,MP:0005397,MP:0005380,MP:0005390,MP:0010771,MP:0002633,MP:0005387,MP:0005378,MP:0010768,MP:0010418,MP:0005369,MP:0005391,MP:0000284,MP:0005379,MP:0010426,MP:0005376,MP:0003631
MGI:95700	MP:0005387,MP:0005378,MP:0005384,MP:0005397
MGI:1919104	MP:0005389,MP:0005384
MGI:105980	MP:0001262,MP:0011101,MP:0005381,MP:0005384,MP:0011100,MP:0005386,MP:0014085,MP:0001265,MP:0001516,MP:0001393,MP:0001394,MP:0011083,MP:0010768,MP:0005378,MP:0004263,MP:0004098,MP:0011110,MP:0003631,MP:0002183
MGI:1328307	nan
MGI:1098274	MP:0005389,MP:0005382,MP:0005387,MP:0005378,MP:0005384,MP:0005371,MP:0005390,MP:0005375,MP:0005386,MP:0005367,MP:0005379,MP:0005397,MP:0005376,MP:0010771
MGI:3646229	nan
MGI:1915281	MP:0005382,MP:0005387,MP:0005378,MP:0005384,MP:0005371,MP:0005388,MP:0005390,MP:0010768,MP:0005375,MP:0005379,MP:0005397,MP:0005376
MGI:1341819	MP:0005387,MP:0005384,MP:0005397
MGI:1890149	MP:0005369,MP:0010768
MGI:3030760	nan
MGI:1355275	MP:0005369,MP:0005378,MP:0005385
MGI:2446977	MP:0005389,MP:0010768,MP:0005384,MP:0005379
MGI:1202889	MP:0003631
MGI:3582052	MP:0005390,MP:0005389,MP:0005375,MP:0005397,MP:0005376,MP:0005387,MP:0005378
MGI:1339949	MP:0005386,MP:0005390,MP:0003631
MGI:3031393	nan
MGI:2442510	MP:0010768,MP:0005376
MGI:3651927	nan
MGI:3702087	MP:0005386,MP:0005367,MP:0005397,MP:0005376,MP:0005387,MP:0005378
MGI:108519	MP:0005389,MP:0005382,MP:0005370,MP:0005378,MP:0005385,MP:0005387,MP:0005388,MP:0005390,MP:0005391,MP:0005386,MP:0005367,MP:0005379,MP:0005397,MP:0005376,MP:0010771
MGI:93882	MP:0005386,MP:0005382,MP:0005378,MP:0010768,MP:0005397,MP:0005387,MP:0005381
MGI:1914208	MP:0005380,MP:0010768,MP:0005384
MGI:2180697	MP:0010768,MP:0005386,MP:0005387,MP:0005378
MGI:4439640	nan
MGI:97553	MP:0005387,MP:0005390,MP:0005376,MP:0005397
MGI:2444752	nan
MGI:2443864	nan
MGI:95851	MP:0005389,MP:0010771,MP:0005387,MP:0005388,MP:0005385,MP:0005384,MP:0010768,MP:0005390,MP:0005379,MP:0005397,MP:0005376,MP:0003631
MGI:1926233	MP:0005397
MGI:3645954	nan
MGI:1921529	nan
MGI:1914576	MP:0005375,MP:0005376,MP:0005378,MP:0005384
MGI:99842	MP:0005386,MP:0005397,MP:0005376,MP:0003631,MP:0005371
MGI:1351351	MP:0001186,MP:0000194,MP:0002986,MP:0003195,MP:0003197,MP:0003199,MP:0005381,MP:0005384,MP:0001566,MP:0005386,MP:0010092,MP:0005367,MP:0005397,MP:0002902,MP:0005390,MP:0010771,MP:0030129,MP:0002904,MP:0001265,MP:0005389,MP:0002905,MP:0002083,MP:0005387,MP:0005378,MP:0010768,MP:0000195,MP:0005369,MP:0005391,MP:0002075,MP:0000198,MP:0005379,MP:0005376,MP:0003631,MP:0001304
MGI:1277163	MP:0005382,MP:0010768,MP:0005378,MP:0005381,MP:0005384,MP:0005385,MP:0005388,MP:0005390,MP:0005391,MP:0005379,MP:0005380,MP:0005376,MP:0003631
MGI:1917153	MP:0005384,MP:0010771,MP:0005380,MP:0005376,MP:0010768,MP:0005378,MP:0005385
MGI:1859937	MP:0005389,MP:0005378,MP:0005371,MP:0005390,MP:0005386,MP:0005367,MP:0005370,MP:0005376,MP:0003631
MGI:1353665	MP:0005397,MP:0010768,MP:0005380,MP:0005376,MP:0005387,MP:0005378
MGI:1355307	MP:0005377,MP:0005379,MP:0002006,MP:0005387,MP:0005378,MP:0005381,MP:0005384,MP:0005388,MP:0010768,MP:0005370,MP:0005397,MP:0005376,MP:0010771
MGI:3030569	nan
MGI:96177	MP:0005377,MP:0005389,MP:0005382,MP:0005387,MP:0005381,MP:0005378,MP:0005388,MP:0005391,MP:0005390,MP:0010768,MP:0005379,MP:0005397,MP:0005376
